DatePlayed,KickOffTime,HomeTeamId,AwayTeamId
20240907,1100,116334,116339
20240907,1300,116328,131125
20240907,1500,131391,116336
20240908,1100,116330,116332
20240908,1300,116325,116333
20240908,1530,116327,131733
20240908,1730,131720,116326
20240909,1700,116337,116331
20240913,1730,131125,116334
20240914,1100,116336,116339
20240914,1300,116332,116328
20240914,1700,116333,131391
20240915,1100,131733,116330
20240915,1530,116326,116325
20240915,1700,116331,116327
20240916,1930,116337,131720
20240920,1930,116339,116333
20240921,1100,116334,116336
20240921,1300,131125,116332
20240921,1730,116328,131733
20240922,1100,131391,116326
20240922,1300,116330,116331
20240922,1530,116325,116337
20240922,1730,116327,131720
20240927,1930,116327,116325
20240927,1930,116332,116334
20240928,1100,116333,116336
20240928,1300,131733,131125
20240928,1530,116326,116339
20240929,1100,116331,116328
20240929,1300,116337,131391
20240929,1500,131720,116330
20241002,1730,131391,116327
20241002,1730,116336,116326
20241002,1730,116330,116325
20241004,1930,116328,131720
20241005,1300,116332,131733
20241005,1500,116334,116333
20241006,1300,131125,116331
20241006,1500,116339,116337
20241013,1100,116337,116336
20241013,1300,116326,116333
20241013,1500,131733,116334
20241013,1530,116325,116328
20241013,1730,116327,116339
20241014,1730,116330,131391
20241014,1730,116331,116332
20241014,1730,131720,131125
20241018,1700,131733,116331
20241019,1300,116333,116337
20241019,1500,116332,131720
20241020,1100,131125,116325
20241020,1300,116339,116330
20241020,1330,116328,131391
20241020,1730,116334,116326
20241020,1930,116336,116327
20241102,1100,131391,131125
20241102,1130,116328,116339
20241102,1300,116330,116336
20241102,1530,116325,116332
20241103,1100,116327,116333
20241103,1300,131720,131733
20241103,1500,116337,116326
20241104,1730,116331,116334
20241109,1100,116333,116330
20241109,1300,116336,116328
20241110,1100,116331,131720
20241110,1300,116332,131391
20241110,1500,116334,116337
20241110,1700,131125,116339
20241111,1730,131733,116325
20241111,1730,116326,116327
20241115,1700,116339,116332
20241115,1930,131125,116336
20241116,1100,131391,131733
20241116,1300,116328,116333
20241116,1500,131720,116334
20241117,1130,116327,116337
20241117,1330,116330,116326
20241117,1530,116325,116331
20241122,1700,116337,116330
20241122,1730,116333,131125
20241122,1930,116332,116336
20241123,1100,131720,116325
20241123,1300,116326,116328
20241123,1500,116334,116327
20241124,1300,131733,116339
20241124,1300,116331,131391
20241206,1730,116328,116337
20241207,1130,116339,116331
20241207,1300,131125,116326
20241207,1500,131391,131720
20241208,1130,116330,116327
20241208,1300,116332,116333
20241208,1500,116325,116334
20241208,1700,116336,131733
20241213,1700,116326,116332
20241213,1700,116331,116336
20241214,1100,116327,116328
20241214,1300,131720,116339
20241214,1500,116337,131125
20241215,1100,116325,131391
20241215,1300,116334,116330
20241215,1700,131733,116333
20241221,1130,131391,116334
20241221,1300,116328,116330
20241221,1530,116339,116325
20241222,1100,131125,116327
20241222,1300,116336,131720
20241222,1500,116332,116337
20241223,1730,116333,116331
20241223,1930,131733,116326
20250104,1100,116327,116332
20250104,1300,116337,131733
20250104,1500,116330,131125
20250105,1100,131391,116339
20250105,1300,116334,116328
20250105,1500,116325,116336
20250106,1730,131720,116333
20250106,1930,116331,116326
20250110,1730,116332,116330
20250110,1730,116336,131391
20250111,1100,116326,131720
20250111,1300,116331,116337
20250111,1500,116333,116325
20250112,1100,131125,116328
20250112,1300,116339,116334
20250112,1500,131733,116327
20250117,1730,116334,131125
20250117,1930,116339,116336
20250118,1100,116328,116332
20250118,1300,131391,116333
20250118,1500,116330,131733
20250118,1730,116325,116326
20250119,1330,116327,116331
20250119,1530,131720,116337
20250124,1530,116337,116325
20250124,1730,116331,116330
20250125,1530,116326,131391
20250125,1730,116333,116339
20250125,1930,116332,131125
20250126,1330,116336,116334
20250126,1530,131720,116327
20250126,1730,131733,116328
20250131,2300,116325,116327
20250131,2300,116328,116331
20250201,2300,131391,116337
20250201,2300,116336,116333
20250201,2300,116339,116326
20250202,2300,116334,116332
20250202,2300,131125,131733
20250202,2300,116330,131720
20250214,1700,116337,116339
20250214,1900,116327,131391
20250215,1330,116325,116330
20250215,1530,116326,116336
20250215,1730,131733,116332
20250216,1300,116331,131125
20250216,1500,116333,116334
20250216,1700,131720,116328
20250301,1100,116333,116326
20250301,1300,116328,116325
20250301,1500,131391,116330
20250302,1100,116339,116327
20250302,1300,131125,131720
20250302,1500,116334,131733
20250303,1730,116336,116337
20250303,1930,116332,116331
20250315,1330,116327,116336
20250315,1530,116325,131125
20250315,1700,116330,116339
20250315,1730,131720,116332
20250315,1900,131391,116328
20250316,1130,116337,116333
20250316,1300,116331,131733
20250316,1730,116326,116334
20250321,1700,116339,116328
20250321,1900,131125,131391
20250322,1100,116334,116331
20250322,1330,116332,116325
20250322,1530,116326,116337
20250323,1100,116336,116330
20250323,1300,131733,131720
20250323,1730,116333,116327
20250328,1700,116337,116334
20250328,1900,131720,116331
20250329,1100,116330,116333
20250329,1300,131391,116332
20250329,1500,116328,116336
20250329,1530,116339,131125
20250330,1730,116327,116326
20250330,1900,116325,131733
20250412,1130,116333,116328
20250412,1300,116326,116330
20250412,1500,131733,131391
20250413,1330,116337,116327
20250413,1530,116331,116325
20250413,1730,116334,131720
20250414,1730,116336,131125
20250414,1930,116332,116339
20250416,1700,116328,116326
20250416,1730,116327,116334
20250416,1930,116325,131720
20250419,1130,131391,116331
20250419,1300,116339,131733
20250420,1130,131125,116333
20250420,1300,116336,116332
20250420,1530,116330,116337
20250426,1130,116333,116332
20250426,1330,131733,116336
20250426,1500,116331,116339
20250427,1330,116337,116328
20250427,1530,131720,131391
20250430,1700,116327,116330
20250430,1730,116326,131125
20250430,1900,116334,116325
20250502,1730,116336,116331
20250502,1930,131125,116337
20250503,1130,116339,131720
20250503,1330,116330,116334
20250503,1530,116333,131733
20250504,1500,131391,116325
20250504,1530,116328,116327
20250504,1700,116332,116326
20250509,1700,116334,131391
20250509,1900,116330,116328
20250510,1300,116327,131125
20250510,1300,116325,116339
20250510,1300,131720,116336
20250511,1300,116337,116332
20250511,1300,116326,131733
20250511,1300,116331,116333
20250608,1330,116332,116327
20250608,1330,116333,131720
20250608,1330,116326,116331
20250608,1330,116328,116334
20250608,1330,116339,131391
20250608,1330,116336,116325
20250608,1330,131733,116337
20250608,1330,131125,116330
