DatePlayed,KickOffTime,HomeTeamId,AwayTeamId
20240816,2000,11,144
20240817,1230,94,9
20240817,1500,13,17
20240817,1500,14,1943
20240817,1500,1,110
20240817,1500,7,1808
20240817,1730,19,2
20240818,1400,1925,1799
20240818,1630,5,10
20240819,2000,95,18
20240824,1230,1808,11
20240824,1500,1799,19
20240824,1500,144,95
20240824,1500,10,94
20240824,1500,17,14
20240824,1500,18,7
20240824,1730,2,1
20240825,1400,1943,13
20240825,1400,110,5
20240825,1630,9,1925
20240831,1230,1,1808
20240831,1500,7,1943
20240831,1500,95,2
20240831,1500,94,144
20240831,1500,14,110
20240831,1500,1925,17
20240831,1730,19,10
20240901,1330,13,18
20240901,1330,5,1799
20240901,1600,11,9
20240914,1230,17,11
20240914,1500,9,14
20240914,1500,10,1925
20240914,1500,1799,95
20240914,1500,144,19
20240914,1500,1808,94
20240914,1730,2,7
20240914,2000,1943,5
20240915,1400,18,1
20240915,1630,110,13
20240921,1230,19,5
20240921,1500,18,1925
20240921,1500,2,110
20240921,1500,144,13
20240921,1500,9,1943
20240921,1500,95,7
20240921,1500,17,94
20240921,1730,1799,11
20240922,1400,1808,14
20240922,1630,10,1
20240928,1230,13,10
20240928,1500,14,144
20240928,1500,1,95
20240928,1500,5,1808
20240928,1500,7,1799
20240928,1500,1925,19
20240928,1730,110,9
20240929,1400,94,2
20240929,1630,11,18
20240930,2000,1943,17
20241005,1230,1,17
20241005,1500,7,13
20241005,1500,95,1943
20241005,1500,1925,110
20241005,1730,10,144
20241006,1400,19,94
20241006,1500,1799,9
20241006,1630,1808,18
20241006,1800,5,14
20241007,2000,2,11
20241018,2000,110,10
20241019,1230,1943,1
20241019,1500,144,2
20241019,1500,94,7
20241019,1500,13,1808
20241019,1730,9,5
20241020,1400,11,1925
20241020,1400,14,1799
20241020,1400,17,95
20241020,1630,18,19
20241026,1300,1808,110
20241026,1500,7,144
20241026,1500,10,17
20241026,1500,95,14
20241026,1500,1925,94
20241026,1930,1,9
20241027,1400,2,1943
20241027,1400,5,13
20241027,1600,19,11
20241028,2000,1799,18
20241101,1945,9,1808
20241102,1230,144,1925
20241102,1500,1943,10
20241102,1500,94,95
20241102,1500,17,7
20241102,1500,14,19
20241102,1730,13,1
20241103,1400,18,2
20241103,1400,110,1799
20241103,1600,11,5
20241109,1230,14,13
20241109,1500,9,2
20241109,1500,1799,144
20241109,1500,110,17
20241109,1500,1925,1943
20241109,1500,19,7
20241109,1745,1808,10
20241110,1600,18,94
20241110,1800,11,95
20241111,2000,5,1
20241122,2000,1,14
20241123,1230,1943,1808
20241123,1500,2,1799
20241123,1500,144,110
20241123,1500,7,1925
20241123,1730,17,9
20241123,2000,10,18
20241124,1400,95,5
20241124,1600,94,11
20241124,1800,13,19
20241130,1230,19,1
20241130,1500,1925,95
20241130,1500,110,1943
20241130,1500,11,7
20241130,1500,14,94
20241130,1500,1808,17
20241130,1730,5,2
20241201,1400,18,144
20241201,1600,9,10
20241202,2000,1799,13
20241203,2000,7,110
20241203,2000,1,11
20241203,2000,95,19
20241204,2000,10,14
20241204,2000,17,5
20241204,2000,2,1925
20241204,2000,1943,18
20241204,2000,144,1808
20241205,2000,13,9
20241205,2000,94,1799
20241207,1230,19,110
20241207,1500,94,1943
20241207,1500,95,1808
20241207,1500,144,1
20241207,1500,1799,10
20241207,1730,2,17
20241208,1330,7,9
20241208,1330,11,14
20241208,1600,18,5
20241209,2000,1925,13
20241214,1230,110,94
20241214,1500,13,95
20241214,1500,14,2
20241214,1500,9,144
20241214,1500,1943,19
20241214,1730,1,7
20241215,1400,1808,1799
20241215,1400,17,18
20241215,1600,10,11
20241216,2000,5,1925
20241220,2000,95,110
20241221,1230,19,1808
20241221,1500,1925,14
20241221,1500,94,13
20241221,1500,144,17
20241221,1730,7,5
20241221,1930,18,9
20241222,1400,1799,1
20241222,1400,11,1943
20241222,1605,2,10
20241226,1230,1808,1925
20241226,1500,1943,1799
20241226,1500,5,144
20241226,1500,14,18
20241226,1500,10,7
20241226,1500,9,95
20241226,1730,1,94
20241227,1500,17,19
20241227,1500,110,11
20241227,2000,13,2
20241229,1400,1925,1
20241229,1500,7,14
20241229,1500,144,1943
20241229,1600,95,10
20241229,1730,94,5
20241230,1230,1799,17
20241230,1500,2,1808
20241230,1800,18,110
20241230,2000,11,13
20241231,2000,19,9
20250104,1230,2,95
20250104,1500,1943,7
20250104,1500,1808,1
20250104,1500,1799,5
20250104,1500,144,94
20250104,1500,17,1925
20250104,1730,18,13
20250105,1330,110,14
20250105,1330,10,19
20250105,1600,9,11
20250114,2000,7,2
20250114,2000,1925,10
20250114,2000,19,144
20250115,2000,1,18
20250115,2000,14,9
20250115,2000,13,110
20250116,2000,11,17
20250116,2000,94,1808
20250116,2000,95,1799
20250116,2000,5,1943
20250118,1230,1925,9
20250118,1500,7,18
20250118,1500,95,144
20250118,1500,14,17
20250118,1730,1,2
20250119,1330,94,10
20250119,1400,13,1943
20250119,1400,5,110
20250119,1600,11,1808
20250120,2000,19,1799
20250124,2000,110,1
20250125,1230,9,94
20250125,1500,17,13
20250125,1500,1808,7
20250125,1500,1943,14
20250125,1500,18,95
20250125,1730,144,11
20250126,1330,1799,1925
20250126,1330,2,19
20250126,1600,10,5
20250201,1230,13,144
20250201,1500,14,1808
20250201,1500,94,17
20250201,1500,1943,9
20250201,1500,110,2
20250201,1730,7,95
20250202,1330,11,1799
20250202,1330,1925,18
20250202,1600,1,10
20250203,2000,5,19
20250214,2000,9,110
20250215,1230,19,1925
20250215,1500,95,1
20250215,1500,17,1943
20250215,1500,1799,7
20250215,1500,144,14
20250215,1500,2,94
20250215,1730,10,13
20250216,1330,1808,5
20250216,1600,18,11
20250222,1230,95,1925
20250222,1500,94,18
20250222,1500,17,1808
20250222,1500,13,14
20250222,1500,1943,110
20250222,1500,144,1799
20250222,1730,1,19
20250223,1400,2,5
20250223,1400,7,11
20250223,1600,10,9
20250226,2000,9,13
20250226,2000,1808,1943
20250226,2000,19,95
20250226,2000,1925,7
20250226,2000,110,144
20250227,2000,18,10
20250227,2000,1799,2
20250227,2000,5,17
20250227,2000,11,94
20250227,2000,14,1
20250308,1330,14,10
20250308,1500,9,17
20250308,1500,1799,94
20250308,1500,110,7
20250308,1500,1925,2
20250308,1730,19,13
20250309,1330,5,95
20250309,1330,1808,144
20250309,1600,11,1
20250310,2000,18,1943
20250314,2000,144,18
20250315,1230,7,19
20250315,1500,13,1799
20250315,1500,17,110
20250315,1500,10,1808
20250315,1500,94,14
20250315,1730,2,9
20250316,1330,1943,1925
20250316,1330,95,11
20250316,1600,1,5
20250401,2000,1,144
20250401,2000,1808,2
20250401,2000,17,1799
20250401,2000,14,11
20250401,2000,13,1925
20250401,2000,110,19
20250402,2000,10,95
20250402,2000,9,7
20250402,2000,1943,94
20250402,2000,5,18
20250405,1230,1925,5
20250405,1500,19,1943
20250405,1500,1799,1808
20250405,1500,7,1
20250405,1500,95,13
20250405,1500,94,110
20250405,1730,144,9
20250406,1330,2,14
20250406,1330,18,17
20250406,1600,11,10
20250411,2000,5,94
20250412,1230,1808,95
20250412,1500,14,7
20250412,1500,17,2
20250412,1500,10,1799
20250412,1730,9,19
20250413,1330,1943,144
20250413,1330,110,18
20250413,1600,13,11
20250414,2000,1,1925
20250419,1230,19,17
20250419,1500,1925,1808
20250419,1500,1799,1943
20250419,1500,94,1
20250419,1500,95,9
20250419,1730,18,14
20250420,1230,11,110
20250420,1330,7,10
20250420,1600,2,13
20250421,2000,144,5
20250425,2000,1808,19
20250426,1230,1943,11
20250426,1500,1,1799
20250426,1500,13,94
20250426,1500,14,1925
20250426,1500,110,95
20250426,1730,10,2
20250427,1330,17,144
20250427,1330,5,7
20250427,1605,9,18
20250503,1230,1808,13
20250503,1500,2,144
20250503,1500,7,94
20250503,1500,10,110
20250503,1500,1925,11
20250503,1505,1799,14
20250503,1730,1,1943
20250504,1330,95,17
20250504,1330,19,18
20250504,1600,5,9
20250510,1230,1943,2
20250510,1500,94,1925
20250510,1500,17,10
20250510,1500,14,95
20250510,1500,110,1808
20250510,1730,13,5
20250511,1330,11,19
20250511,1330,144,7
20250511,1600,9,1
20250512,2000,18,1799
20250518,1230,1808,9
20250518,1330,7,17
20250518,1330,1925,144
20250518,1500,1799,110
